#assembly_accession,organism_name
GCA_027604085.1,Chytriomyces hyalinus
GCA_900079185.1,Absidia glauca
GCA_023512895.1,Rhizomucor pusillus
GCA_027405735.1,Mucor racemosus
GCA_003325415.1,Rhizopus stolonifer
GCA_025331445.1,Blakeslea trispora
GCA_025766245.1,Coemansia mojavensis
GCA_027576915.1,Dipsacomyces acuminosporus
GCA_027575855.1,Linderina macrospora
GCA_009809945.1,Gigaspora margarita
GCA_001661515.1,Capniomyces stellatus
GCA_023078545.1,Schizosaccharomyces pombe
GCA_019702855.1,Schizosaccharomyces japonicus
GCA_001245095.1,Cyberlindnera jadinii
GCA_021014275.1,Pichia kudriavzevii
GCA_000747785.1,Kluyveromyces marxianus
GCA_030580015.1,Lachancea waltii
GCA_030573675.1,Pachysolen tannophilus
GCA_030557775.1,Millerozyma farinosa
GCA_003339405.1,Pichia norvegensis
GCA_900016435.1,Komagataella pastoris
GCA_003707665.2,Ogataea pini
GCA_016859295.1,Scheffersomyces stipitis
GCA_001950575.1,Pichia membranifaciens
GCA_017654905.1,Wickerhamomyces anomalus
GCA_018105795.1,Meyerozyma guilliermondii
GCA_013180165.1,Saccharomyces bayanus
GCA_010356935.1,Saccharomyces cerevisiae
GCA_030569935.1,Lachancea kluyveri
GCA_001936275.1,Saccharomycopsis fibuligera
GCA_030579795.1,Schwanniomyces occidentalis var. occidentalis
GCA_000243375.1,Torulaspora delbrueckii
GCA_014490615.1,Yarrowia lipolytica
GCA_949129075.1,Zygosaccharomyces bailii
GCA_900074765.1,Lachancea fermentati
GCA_019775865.1,Zygosaccharomyces rouxii
GCA_003707595.2,Zygosaccharomyces bisporus
GCA_006942305.1,Debaryomyces hansenii
GCA_024115145.1,Dioszegia hungarica
GCA_001600655.1,Dioszegia aurantiaca
GCA_001600615.1,Dioszegia crocea
GCA_002102565.1,Kockovaella imperatae
GCA_010758995.1,Sporobolomyces pararoseus
GCA_001373355.1,Sporobolomyces salmonicolor
GCA_014176185.1,Brettanomyces bruxellensis
GCA_005281575.1,Taphrina deformans
GCA_005281515.1,Taphrina wiesneri
GCA_019454015.1,Bipolaris maydis
GCA_016906865.1,Bipolaris zeicola
GCA_022609245.1,Plenodomus lingam
GCA_002148295.1,Venturia inaequalis
GCA_012365135.1,Pyrenophora graminea
GCA_017607465.1,Histoplasma capsulatum
GCA_900128795.2,Malbranchea cinnamomea
GCA_030435815.1,Sarocladium strictum
GCA_018801565.1,Epichloe coenophiala
GCA_001043855.1,Epichloe uncinata
GCA_027569315.1,Aspergillus amstelodami
GCA_023620035.1,Aspergillus clavatus
GCA_018140885.1,Aspergillus flavus
GCA_001741885.1,Aspergillus niger
GCA_002214955.1,Aspergillus oryzae
GCA_963379335.1,Aspergillus sp.
GCA_026184555.1,Aspergillus wentii
GCA_013145875.1,Aspergillus parasiticus
GCA_019805365.1,Aspergillus tubingensis
GCA_019843585.1,Penicillium brevicompactum
GCA_015586095.1,Penicillium camemberti
GCA_000710275.1,Penicillium chrysogenum
GCA_001399475.1,Penicillium citrinum
GCA_020557365.1,Penicillium griseofulvum
GCA_023626455.1,Penicillium janthinellum
GCA_001599855.1,Penicillium roqueforti
GCA_028829005.1,Penicillium canescens
GCA_001599835.1,Thermoascus crustaceus
GCA_003116535.1,Paecilomyces niveus
GCA_003184285.1,Monascus purpureus
GCA_001270345.1,Amorphotheca resinae
GCA_018360655.1,Claviceps purpurea
GCA_023658615.1,Epichloe typhina
GCA_014849385.1,Cryphonectria parasitica
GCA_901677955.1,Fusarium fujikuroi
GCA_001567575.1,Fusarium sambucinum
GCA_011799845.1,Hypomyces rosellus
GCA_958302945.1,Neurospora crassa
GCA_008692325.1,Sordaria macrospora
GCA_017160715.1,Ceratocystis fimbriata
GCA_019925495.1,Ophiostoma fasciatum
GCA_019925475.1,Ophiostoma ips
GCA_029298715.1,Ophiostoma ulmi
GCA_019022465.1,Sclerotinia sclerotiorum
GCA_008079325.1,Morchella conica
GCA_011057475.1,Cryptococcus neoformans
GCA_019201745.1,Filobasidium floriforme
GCA_004117975.1,Tremella mesenterica
GCA_018154035.1,Ustilago maydis
GCA_900015425.1,Microbotryum violaceum
GCA_003054985.1,Leucosporidium scottii
GCA_001456015.1,Rhodotorula toruloides
GCA_006352295.1,Rhodotorula diobovata
GCA_019426095.1,Ganoderma lucidum
GCA_022606095.1,Irpex lacteus
GCA_019677325.2,Pleurotus cornucopiae
GCA_014466165.1,Pleurotus ostreatus
GCA_001717165.1,Pleurotus eryngii
GCA_030411785.1,Trametes hirsuta
GCA_027924225.1,Bjerkandera adusta
GCA_019142965.1,Schizophyllum commune
GCA_943193725.1,Agaricus bisporus
GCA_030246685.1,Agaricus bitorquis
GCA_001700625.1,Lentinula edodes
GCA_004369045.1,Heliocybe sulcata
GCA_016800925.1,Suillus spraguei
GCA_014825535.1,Cystofilobasidium bisporidii
GCA_014825545.1,Cystofilobasidium capitatum
GCA_001972285.1,Erythrobasidium hasegawianum
GCA_001600235.1,Vanrija humicola
GCA_012922625.1,Papiliotrema laurentii
GCA_001599975.1,Cystobasidiopsis lactophilus
GCA_004011695.2,Ascochyta rabiei
GCA_030867225.1,Colletotrichum caudatum
GCA_027406025.1,Colletotrichum musae
GCA_004367215.1,Colletotrichum trifolii
GCA_011947275.1,Colletotrichum truncatum
GCA_001660795.1,Leptoxyphium fumago
GCA_015344825.1,Candida albicans
GCA_001599335.1,[Candida] boidinii
GCA_020450235.1,Nakaseomyces glabratus
GCA_030582995.1,Candida maltosa
GCA_014049445.1,Candida parapsilosis
GCA_030556535.1,Diutina rugosa
GCA_017315405.1,Candida tropicalis
GCA_001736125.1,Pseudozyma tsukubaensis
GCA_003327735.1,Candida viswanathii
GCA_022577855.1,Wickerhamiella azyma
GCA_030560905.1,Saturnispora diversa
GCA_003033435.1,Starmerella magnoliae
GCA_030563325.1,[Candida] melibiosica
GCA_030570335.1,[Candida] rugopelliculosa
GCA_031851675.1,[Candida] zeylanoides
GCA_030567875.1,[Candida] nitratophila
GCA_020509005.2,Fulvia fulva
GCA_004115165.2,Coccidioides immitis
GCA_005212705.1,Curvularia lunata
GCA_014324435.1,Fusarium oxysporum
GCA_001702555.1,Fusarium oxysporum f. sp. cucumerinum
GCA_019054645.1,Fusarium sporotrichioides
GCA_013363215.1,Fusarium acuminatum
GCA_016952355.1,Fusarium culmorum
GCA_905359455.1,Fusarium graminearum
GCA_026745475.1,Microdochium nivale
GCA_014898835.1,Fusarium lateritium
GCA_011316235.1,[Humicola] grisea var. thermoidea
GCA_013839505.1,Metarhizium anisopliae
GCA_015501985.1,Rhodotorula glutinis
GCA_019303655.1,Rhodotorula mucilaginosa
GCA_002812745.2,Scytalidium lignicola
GCA_019393575.1,Trichoderma harzianum
GCA_007896495.1,Trichoderma viride
GCA_023628815.1,Trichoderma longibrachiatum
GCA_910592265.1,Trichophyton rubrum
GCA_001613755.1,Cutaneotrichosporon cutaneum
GCA_018408375.1,Aureobasidium pullulans
GCA_030271035.1,Microascus cirrosus
GCA_002221725.1,Scedosporium boydii
GCA_020449105.1,Alternaria alternata
GCA_016110115.1,Phialophora americana
GCA_006149155.1,Cryptococcus wingfieldii
GCA_030564625.1,Zygoascus hellenicus
GCA_001683735.1,Grifola frondosa
GCA_003521245.1,Laetiporus sulphureus
GCA_022264855.1,Lenzites betulinus
GCA_000765035.1,Trametes cinnabarina
GCA_010883455.1,Exophiala dermatitidis
GCA_027571585.1,Encephalitozoon cuniculi
GCA_029218145.1,Aphanocladium album
GCA_905071735.1,Tilletia caries
GCA_905071775.1,Tilletia controversa
GCA_011074765.1,Brettanomyces custersianus
GCA_018344465.1,Brettanomyces naardenensis
GCA_011074865.2,Brettanomyces nanus
GCA_001457895.1,Heterobasidion annosum
GCA_020568205.1,Parastagonospora nodorum
GCA_002105135.1,Syncephalastrum racemosum
GCA_012850925.1,Naumovozyma castellii
GCA_030705005.1,Naumovozyma dairenensis
GCA_002079175.1,Saccharomyces paradoxus
GCA_013179775.1,Saccharomyces pastorianus
GCA_002214935.1,Kazachstania servazzii
GCA_016110235.1,Kazachstania unispora
GCA_030674585.1,Debaryomyces castellii
GCA_030564605.1,Debaryomyces coudertii
GCA_003708605.2,Debaryomyces maramus
GCA_030574515.1,Priceomyces melissophilus
GCA_003708585.1,Debaryomyces nepalensis
GCA_030583345.1,Schwanniomyces pseudopolymorphus
GCA_004125065.1,Wickerhamiella versatilis
GCA_031081895.1,Schwanniomyces vanrijiae
GCA_030565025.1,Schwanniomyces yamadae
GCA_030581615.1,Alloascoidea africana
GCA_003707825.3,Cephaloascus fragrans
GCA_003707475.1,Dipodascus albidus
GCA_019285895.1,Metschnikowia australis
GCA_030463115.1,Metschnikowia bicuspidata
GCA_002374695.1,Metschnikowia hawaiiensis
GCA_030561945.1,Metschnikowia krissii
GCA_030583235.1,Metschnikowia lunata
GCA_029606385.1,Metschnikowia pulcherrima
GCA_003401635.1,Metschnikowia reukaufii
GCA_939531315.1,Metschnikowia zobellii
GCA_003717155.1,Protomyces inouyei
GCA_003717165.1,Protomyces inundatus
GCA_022829055.1,Penicillium expansum
GCA_024085555.1,Verticillium albo-atrum
GCA_011032965.1,Verticillium dahliae
GCA_001020605.1,Schizopora paradoxa
GCA_019395275.1,Puccinia brachypodii
GCA_007896445.1,Puccinia hordei
GCA_001263375.1,Puccinia sorghi
GCA_002008935.1,Puccinia striiformis
GCA_001593745.1,Colletotrichum acutatum
GCA_002249805.1,Colletotrichum coccodes
GCA_910592055.1,Acaulospora colombiana
GCA_910592005.1,Funneliformis mosseae
GCA_024399255.1,Encephalitozoon hellem
GCA_905066765.1,Sclerotinia trifoliorum
GCA_003709225.3,Priceomyces carsonii
GCA_031081805.1,Schwanniomyces etchellsii
GCA_030556595.1,Debaryomyces udenii
GCA_030566065.1,Debaryomyces robertsiae
GCA_020137715.1,Talaromyces trachyspermus
GCA_001939245.1,Talaromyces wortmannii
GCA_023623855.1,Talaromyces funiculosus
GCA_000985935.1,Talaromyces islandicus
GCA_002151565.1,Kluyveromyces lactis
GCA_001600675.1,Millerozyma acaciae
