GCA_004327225.1,Pseudomonas sp. FRB 230
GCA_004327365.1,Pseudomonas sp. FRB 228
GCA_032923035.1,"Salmonella enterica subsp. enterica serovar 1,4,12,27:b:-"
GCA_032849025.1,Methylobacteriaceae bacterium AG10
GCA_032849035.1,Actinomycetes bacterium ARC8
GCA_033042595.1,Streptomyces sp. UP1A-1
GCA_032965265.1,Escherichia coli O113w
GCA_033042555.1,Flavobacterium sp. DG1-102-2
GCA_006218045.1,Stygiobacter sp.
GCA_032918415.1,Clostridium sp. AL.422
GCA_032911545.1,Marinobacter sp. M-5
GCA_032842945.1,Roseovarius sp. W115
GCA_029972135.1,Candidatus Thiocaldithrix dubininis
GCA_029972225.1,Candidatus Thiothrix putei
GCA_032911445.1,Sphingomonas sp. HF-S4
GCA_033063275.1,Nitrosomonas sp. Is37
GCA_033063295.1,Nitrosomonas sp. Is35
GCA_033063335.1,Nitrosomonas sp. Is24
GCA_032842915.1,Oceanimonas sp. CAM02
GCA_032842965.1,Psychrobacter sp. CAM01
GCA_032848195.1,Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020
GCA_032911385.1,Stenotrophomonas sp. C3(2023)
GCA_033052795.1,Halovibrio sp. HP20-50
GCA_031884435.1,Bosea sp. 685
GCA_032681325.1,Pseudomonas sp. 17
GCA_032918025.1,Bradyrhizobium sp. BEA-2-5
GCA_032918005.1,Bradyrhizobium sp. NDS-1
GCA_032917985.1,Bradyrhizobium sp. BWA-3-5
GCA_032917965.1,Bradyrhizobium sp. BWC-3-1
GCA_032970445.1,Vibrio sp. T13N
GCA_032971465.1,Pseudomonas sp. LSJ-87
GCA_032620915.1,Oscillospiraceae bacterium NTUH-002-81
GCA_032681305.1,Pelagibacterales bacterium CODY6
GCA_033042495.1,Vibrio sp. EA2
GCA_032583975.1,Yeosuana sp. MJ-SS3
GCA_032681335.1,Lactiplantibacillus sp. DA1
GCA_032586175.1,Rhodophyticola sp. MJ-SS7
GCA_032586235.1,Aestuariicoccus sp. MJ-SS9
GCA_032739335.1,Enterobacter sp. 23-M-SZ-13
GCA_032584035.1,Wolbachia endosymbiont of Drosophila malagassya
GCA_032584155.1,Wolbachia endosymbiont of Drosophila bocqueti
GCA_032587875.1,Pseudomonas syringae group sp. 243L2
GCA_032587795.1,Pseudomonas syringae group sp. 247E2
GCA_032587815.1,Pseudomonas syringae group sp. 26L6
GCA_032586995.1,Pseudomonas syringae group sp. J248-6
GCA_032586855.1,Pseudomonas syringae group sp. J254-4
GCA_032582135.1,Pseudomonas syringae group sp. J309-1
GCA_032922545.1,Sulfitobacter sp. LC.270.F.C4
GCA_032925565.1,Alteromonas sp. CI.11.F.A3
GCA_023008405.1,Amycolatopsis sp. FBCC-B4732
GCA_032840035.1,Campylobacter sp. TJR-1
GCA_032970865.1,Veillonella sp. YH-vei2233
GCA_033052815.1,Chromohalobacter sp. HP20-39
GCA_032970905.1,Veillonella sp. YH-vei2232
GCA_032931615.1,Palleronia sp. LCG004
GCA_032769475.1,Intestinibacillus sp. NTUH-41-i26
GCA_032464675.1,Roseobacter sp. HKCCA0434
GCA_032918335.1,Shimia sp. FJ5
GCA_032918305.1,Rhodovulum sp. FJ3
GCA_032465815.1,Cupriavidus sp. BIC8F
GCA_032380655.1,Clostridiaceae bacterium CSJ-3
GCA_032380675.1,Lachnospiraceae bacterium CSJ-1
GCA_905125315.1,Aerococcus tenax
GCA_032806965.1,Escherichia coli O178
GCA_032930845.1,Parvularcula sp. LCG005
GCA_032465855.1,Bacillus sp. TSA-4
GCA_032423885.1,Streptomyces sp. TRM76323
GCA_007625125.1,Denitromonas ohlonensis
GCA_032391395.1,Sphingomonas sp. Y38-1Y
GCA_032392015.1,Pseudomonas sp. C9-3
GCA_032399705.1,Paenibacillus sp. BIC5C1
GCA_032621735.1,Pseudomonas sp. zfem005
GCA_032621715.1,Pseudomonas sp. zfem004
GCA_032621675.1,Pseudomonas sp. zfem003
GCA_032621685.1,Pseudomonas sp. zfem002
GCA_032621725.1,Pseudomonas sp. zfem001
GCA_032490475.1,Neglectibacter sp. CSJ-5
GCA_032490495.1,Clostridiaceae bacterium CSJ-4
GCA_032389435.1,Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013
GCA_032911605.1,Stenotrophomonas sp. C4297
GCA_032911505.1,Stenotrophomonas sp. C2866
GCA_032911525.1,Stenotrophomonas sp. C2852
GCA_032911565.1,Stenotrophomonas sp. C1657
GCA_032911585.1,Stenotrophomonas sp. C960
GCA_032460275.1,Mesorhizobium sp. SP-1A
GCA_032341995.1,Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016
GCA_032758595.1,Polaribacter sp. HL-MS24
GCA_032463465.1,Tenacibaculum sp. HL-MS23
GCA_032388755.1,Neisseria sp. DTU_2020_1000833_1_SI_GRL_NUU_006
GCA_032387735.1,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A
GCA_032342915.1,Neisseria sp. DTU_2021_1001991_1_SI_NGA_ILE_055
GCA_032463525.1,Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001
GCA_032341175.1,Bacillus sp. DTU_2020_1000418_1_SI_GHA_SEK_038
GCA_032340315.1,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006
GCA_032337515.1,Rossellomorea sp. YC4-1
GCA_032334105.1,Paenibacillus sp. ES5-4
GCA_032401745.1,Bacillus sp. SI2
GCA_032337075.1,Novosphingobium sp. APW14
GCA_032337135.1,Curvibacter sp. APW13
GCA_032337115.1,Paucibacter sp. APW11
GCA_032461945.1,Paenibacillus sp. PFR10
GCA_032337355.1,Paenibacillus sp. chi10
GCA_032251665.1,Roseomonas sp. DSM 102946
GCA_019634675.1,Candidatus Acheromyda pituitae
GCA_030408505.1,Candidatus Sacchlamyda saccharinae
GCA_030408475.1,Candidatus Amphrikana amoebophyrae
GCA_032806145.1,Pseudomonas sp. NyZ704
GCA_024758765.1,Mycobacterium sp. SVM_VP21
GCA_032395385.1,Brenneria sp. K61
GCA_032395985.1,Paraflavitalea sp. BL16E
GCA_032248395.1,Flavobacteriaceae bacterium S356
GCA_032144095.1,Sphaerochaeta sp. PS
GCA_032464715.1,Hymenobacter sp. ZK17L-C2
GCA_032248435.1,Methylophilus sp. VKM B-3414
GCA_032027785.1,Citrobacter freundii complex sp. 2023EL-00961
GCA_032027585.1,Citrobacter freundii complex sp. 2023EL-00962
GCA_032027565.1,Citrobacter freundii complex sp. 2023EL-00966
GCA_032248735.1,Moraxella sp. 1 DOX410
GCA_031832195.1,Salmonella enterica subsp. enterica serovar Rough O:z29
GCA_032248475.1,Rubrivirga sp. S365
GCA_032248455.1,Pricia sp. S334
GCA_963557135.1,uncultured Gastranaerophilales bacterium
GCA_032401055.1,Tardiphaga sp. 709
GCA_032334235.1,Paracoccaceae bacterium Fryx2
GCA_032464915.1,Microbacterium sp. KSW4-17
GCA_032464935.1,Microbacterium sp. KSW2-29
GCA_032464975.1,Microbacterium sp. KSW2-21
GCA_032461565.1,Bacillus sp. IG6
GCA_032461585.1,Bacillus sp. IS1
GCA_032461625.1,Bacillus sp. IG2
GCA_004217145.1,Kribbella rubisoli
GCA_032460545.1,Umezawaea sp. Da 62-37
GCA_031854425.1,Paracoccus sp. CPCC 101403
GCA_032229305.1,Streptomyces sp. AM8-1-1
GCA_032229325.1,Streptomyces sp. AM2-3-1
GCA_032814565.1,Hwangdonia sp. SCSIO 19198
GCA_013202315.1,Candidatus Tariuqbacter arcticus
GCA_032839995.1,Xanthomonas hortorum NBC5720
GCA_031317595.1,Glutamicibacter sp. PS
GCA_032110285.1,Kitasatospora sp. CM 4170
GCA_032464655.1,Rhizobium sp. 25PS6
GCA_032464805.1,Rhizobium sp. 10PS4
GCA_032102965.1,Demequina sp. PMTSA13
GCA_032100785.1,Demequina sp. OYTSA14
GCA_032098525.1,Flavobacterium sp. PMTSA4
GCA_032095375.1,Flavobacterium sp. PMR2A8
GCA_031846185.1,Thalassotalea sp. W431
GCA_031846165.1,Alteromonas sp. W409
GCA_031846205.1,Alteromonas sp. W364
GCA_031846245.1,Algiphilus sp. W345
GCA_031846275.1,Salinisphaera sp. W335
GCA_031846265.1,Ichthyenterobacterium sp. W332
GCA_032229225.1,Stakelama sp. W311
GCA_031846325.1,Constantimarinum sp. W242
GCA_031846305.1,Salinisphaera sp. P385
GCA_031846345.1,Aestuariibacter sp. P117
GCA_031846365.1,Croceitalea sp. P059
GCA_031846385.1,Urechidicola sp. P050
GCA_031846405.1,Croceitalea sp. P007
GCA_031846415.1,Rubrivirga sp. F394
GCA_031846435.1,Croceicoccus sp. F390
GCA_031846445.1,Croceitalea sp. F388
GCA_031846485.1,Zunongwangia sp. F363
GCA_031846505.1,Zunongwangia sp. F297
GCA_031846515.1,Zunongwangia sp. F260
GCA_031846645.1,Zunongwangia sp. F225
GCA_031846525.1,Salegentibacter sp. F188
GCA_031846565.1,Roseicyclus sp. F158
GCA_031846585.1,Zunongwangia sp. F117
GCA_031882575.1,Pseudomonas sp. VD-NE ins
GCA_031881815.1,Pseudomonas sp. VD-NE ext
GCA_031881115.1,Pseudomonas sp. VD-NE white
GCA_031845305.1,Jatrophihabitans sp. DSM 44399
GCA_031845325.1,Blastococcus sp. DSM 46792
GCA_031845345.1,Pseudonocardia sp. DSM 45834
GCA_031845375.1,Streptomonospora sp. DSM 45055
GCA_031845365.1,Streptomyces sp. DSM 44938
GCA_031845425.1,Streptomyces sp. DSM 44918
GCA_031845405.1,Streptomyces sp. DSM 44917
GCA_031845445.1,Streptomyces sp. DSM 44915
GCA_031845465.1,Nocardiopsis sp. DSM 44743
GCA_031845485.1,Streptomyces sp. DSM 42041
GCA_031845525.1,Streptomyces sp. DSM 41982
GCA_031845505.1,Streptomyces sp. DSM 41981
GCA_031845585.1,Streptomyces sp. DSM 41979
GCA_032027505.1,Streptomyces sp. DSM 41972
GCA_031845545.1,Streptomyces sp. DSM 41921
GCA_031845565.1,Streptomyces sp. DSM 41886
GCA_031845625.1,Streptomyces sp. DSM 41859
GCA_031845605.1,Streptomyces sp. DSM 41770
GCA_031845665.1,Streptomyces sp. DSM 41699
GCA_031845645.1,Streptomyces sp. DSM 41640
GCA_031845685.1,Streptomyces sp. DSM 41636
GCA_031845705.1,Streptomyces sp. DSM 41635
GCA_031845895.1,Streptomyces sp. DSM 41633
GCA_031845865.1,Streptomyces sp. DSM 41529
GCA_031845725.1,Streptomyces sp. DSM 41527
