GCA_934882705.1,GCA_934882705.1.fna.gz
GCA_000407405.1,GCA_000407405.1.fna.gz
GCA_016603275.1,GCA_016603275.1.fna.gz
GCA_016603825.1,GCA_016603825.1.fna.gz
GCA_000270445.1,GCA_000270445.1.fna.gz
GCA_000699025.1,GCA_000699025.1.fna.gz
GCA_900631675.1,GCA_900631675.1.fna.gz
GCA_000764595.1,GCA_000764595.1.fna.gz
GCA_023205955.1,GCA_023205955.1.fna.gz
GCA_000283955.1,GCA_000283955.1.fna.gz
GCA_014142445.1,GCA_014142445.1.fna.gz
GCA_900078185.2,GCA_900078185.2.fna.gz
GCA_000018745.1,GCA_000018745.1.fna.gz
GCA_000740195.1,GCA_000740195.1.fna.gz
GCA_900635715.1,GCA_900635715.1.fna.gz
GCA_000012025.1,GCA_000012025.1.fna.gz
GCA_000755865.1,GCA_000755865.1.fna.gz
GCA_900635825.1,GCA_900635825.1.fna.gz
GCA_022353745.1,GCA_022353745.1.fna.gz
GCA_022354785.1,GCA_022354785.1.fna.gz
GCA_000359305.2,GCA_000359305.2.fna.gz
GCA_016600925.1,GCA_016600925.1.fna.gz
GCA_016026675.1,GCA_016026675.1.fna.gz
GCA_000359165.2,GCA_000359165.2.fna.gz
GCA_000832565.1,GCA_000832565.1.fna.gz
GCA_902375245.1,GCA_902375245.1.fna.gz
GCA_019793575.1,GCA_019793575.1.fna.gz
GCA_000740215.1,GCA_000740215.1.fna.gz
GCA_020735585.1,GCA_020735585.1.fna.gz
GCA_000019865.1,GCA_000019865.1.fna.gz
GCA_016405945.1,GCA_016405945.1.fna.gz
GCA_019642935.1,GCA_019642935.1.fna.gz
GCA_000283835.1,GCA_000283835.1.fna.gz
GCA_000169915.1,GCA_000169915.1.fna.gz
GCA_000959605.1,GCA_000959605.1.fna.gz
GCA_014884405.1,GCA_014884405.1.fna.gz
GCA_000270385.1,GCA_000270385.1.fna.gz
GCA_900639645.1,GCA_900639645.1.fna.gz
GCA_016603915.1,GCA_016603915.1.fna.gz
GCA_016603345.1,GCA_016603345.1.fna.gz
GCA_934855955.1,GCA_934855955.1.fna.gz
GCA_905369815.1,GCA_905369815.1.fna.gz
GCA_000340725.1,GCA_000340725.1.fna.gz
GCA_000195795.1,GCA_000195795.1.fna.gz
GCA_000015005.1,GCA_000015005.1.fna.gz
GCA_016727765.1,GCA_016727765.1.fna.gz
GCA_000767405.1,GCA_000767405.1.fna.gz
GCA_900118965.1,GCA_900118965.1.fna.gz
GCA_000762335.1,GCA_000762335.1.fna.gz
GCA_013340225.1,GCA_013340225.1.fna.gz
GCA_017298895.1,GCA_017298895.1.fna.gz
GCA_020991315.1,GCA_020991315.1.fna.gz
GCA_900631645.1,GCA_900631645.1.fna.gz
GCA_018176655.1,GCA_018176655.1.fna.gz
GCA_016103025.1,GCA_016103025.1.fna.gz
GCA_022220405.1,GCA_022220405.1.fna.gz
GCA_015275785.1,GCA_015275785.1.fna.gz
GCA_014228805.1,GCA_014228805.1.fna.gz
GCA_018591655.1,GCA_018591655.1.fna.gz
GCA_000241385.1,GCA_000241385.1.fna.gz
GCA_015163675.1,GCA_015163675.1.fna.gz
GCA_902168535.1,GCA_902168535.1.fna.gz
GCA_016755995.1,GCA_016755995.1.fna.gz
GCA_000715375.1,GCA_000715375.1.fna.gz
GCA_934831285.1,GCA_934831285.1.fna.gz
GCA_902375275.1,GCA_902375275.1.fna.gz
GCA_943333145.2,GCA_943333145.2.fna.gz
GCA_000253155.1,GCA_000253155.1.fna.gz
GCA_916050255.1,GCA_916050255.1.fna.gz
GCA_012275125.1,GCA_012275125.1.fna.gz
GCA_902377635.1,GCA_902377635.1.fna.gz
GCA_017909395.1,GCA_017909395.1.fna.gz
GCA_934829365.1,GCA_934829365.1.fna.gz
GCA_015276435.1,GCA_015276435.1.fna.gz
GCA_900107905.1,GCA_900107905.1.fna.gz
GCA_000613585.1,GCA_000613585.1.fna.gz
GCA_019972775.2,GCA_019972775.2.fna.gz
GCA_918427955.1,GCA_918427955.1.fna.gz
GCA_000439065.1,GCA_000439065.1.fna.gz
GCA_905213555.1,GCA_905213555.1.fna.gz
GCA_000621885.1,GCA_000621885.1.fna.gz
GCA_000407525.1,GCA_000407525.1.fna.gz
GCA_018454425.1,GCA_018454425.1.fna.gz
GCA_905371395.1,GCA_905371395.1.fna.gz
GCA_019656575.1,GCA_019656575.1.fna.gz
GCA_000813415.1,GCA_000813415.1.fna.gz
GCA_014490845.1,GCA_014490845.1.fna.gz
GCA_013624375.1,GCA_013624375.1.fna.gz
GCA_902499055.1,GCA_902499055.1.fna.gz
GCA_927911485.1,GCA_927911485.1.fna.gz
GCA_000755805.1,GCA_000755805.1.fna.gz
GCA_918422055.1,GCA_918422055.1.fna.gz
GCA_905125285.1,GCA_905125285.1.fna.gz
GCA_000210895.1,GCA_000210895.1.fna.gz
GCA_013798355.1,GCA_013798355.1.fna.gz
GCA_015277225.1,GCA_015277225.1.fna.gz
GCA_013363985.1,GCA_013363985.1.fna.gz
GCA_900444865.1,GCA_900444865.1.fna.gz
GCA_943327645.2,GCA_943327645.2.fna.gz
GCA_017167155.1,GCA_017167155.1.fna.gz
GCA_902375285.1,GCA_902375285.1.fna.gz
GCA_937990095.1,GCA_937990095.1.fna.gz
GCA_016026035.1,GCA_016026035.1.fna.gz
GCA_016756095.1,GCA_016756095.1.fna.gz
GCA_014648215.1,GCA_014648215.1.fna.gz
GCA_902168615.1,GCA_902168615.1.fna.gz
GCA_900458885.1,GCA_900458885.1.fna.gz
GCA_900453075.1,GCA_900453075.1.fna.gz
GCA_015275175.1,GCA_015275175.1.fna.gz
GCA_015274945.1,GCA_015274945.1.fna.gz
GCA_016772355.1,GCA_016772355.1.fna.gz
GCA_902833425.1,GCA_902833425.1.fna.gz
GCA_017298995.1,GCA_017298995.1.fna.gz
GCA_902728135.1,GCA_902728135.1.fna.gz
GCA_900118525.1,GCA_900118525.1.fna.gz
GCA_000767445.1,GCA_000767445.1.fna.gz
GCA_000834735.1,GCA_000834735.1.fna.gz
GCA_000283295.1,GCA_000283295.1.fna.gz
GCA_021052705.1,GCA_021052705.1.fna.gz
GCA_022558385.1,GCA_022558385.1.fna.gz
GCA_000340645.1,GCA_000340645.1.fna.gz
GCA_900107475.1,GCA_900107475.1.fna.gz
GCA_934839395.1,GCA_934839395.1.fna.gz
GCA_016603445.1,GCA_016603445.1.fna.gz
GCA_016603895.1,GCA_016603895.1.fna.gz
GCA_918593995.1,GCA_918593995.1.fna.gz
GCA_020882035.1,GCA_020882035.1.fna.gz
GCA_014884485.1,GCA_014884485.1.fna.gz
GCA_902829845.1,GCA_902829845.1.fna.gz
GCA_000706745.1,GCA_000706745.1.fna.gz
GCA_019643105.1,GCA_019643105.1.fna.gz
GCA_000367725.3,GCA_000367725.3.fna.gz
GCA_000967135.1,GCA_000967135.1.fna.gz
GCA_000740375.1,GCA_000740375.1.fna.gz
GCA_000253315.1,GCA_000253315.1.fna.gz
GCA_000833515.1,GCA_000833515.1.fna.gz
GCA_023517195.1,GCA_023517195.1.fna.gz
GCA_022493995.1,GCA_022493995.1.fna.gz
GCA_901873415.1,GCA_901873415.1.fna.gz
GCA_900176185.1,GCA_900176185.1.fna.gz
GCA_000359365.1,GCA_000359365.1.fna.gz
GCA_000769575.1,GCA_000769575.1.fna.gz
