id,y_true, length
NC-000003_154204342_aligned_0_F_1675_6285_1710,0,9552
NC-000019_52171808_aligned_1_R_1_4685_1,0,4644
NC-000004_59879473_aligned_2_R_6_10169_11,0,10078
NC-000006_41835343_aligned_3_R_3_777_0,0,758
NC-000013_27177616_aligned_4_F_2_4487_0,0,4384
NC-000005_106583204_aligned_5_R_2_1422_22,0,1425
NC-000013_23961630_aligned_6_F_2_3345_44,0,3347
NC-000004_132155128_aligned_7_F_0_765_0,0,750
NC-000005_175245986_aligned_8_F_17_3692_1,0,3599
NC-000014_42360310_aligned_9_F_37_5252_0,0,5261
NC-000016_27286752_aligned_10_R_0_2489_19,0,2502
NC-000013_50501323_aligned_11_F_11_302_118,0,421
NC-000023_95166165_aligned_12_R_0_5370_0,0,5297
NC-000006_92577461_aligned_13_R_7_4571_0,0,4473
NC-000017_74495976_aligned_14_R_0_4829_0,0,4677
NC-000020_28578529_aligned_15_F_0_6742_2,0,6677
NW-003571049_143466_aligned_16_R_28_1627_40,0,1680
NC-000010_8080319_aligned_17_R_1880_6194_7,0,7992
NC-000014_103501289_aligned_18_F_0_13455_0,0,13272
NC-000003_100086681_aligned_19_R_20_2737_0,0,2728
NC-000017_61069914_aligned_20_R_15_4504_2,0,4506
NC-000012_128591447_aligned_21_R_0_5446_0,0,5391
NC-000001_72981549_aligned_22_F_61_6626_0,0,6654
NC-000020_6219699_aligned_23_R_11_2109_4,0,2087
NC-000007_159095674_aligned_24_F_14_4600_7,0,4600
NC-000004_51429858_aligned_25_F_38_3021_254,0,3248
NC-000003_21171759_aligned_26_R_31_3410_0,0,3406
NC-000004_83509407_aligned_27_F_35_4459_0,0,4412
NC-000010_1764944_aligned_28_R_1_3979_2,0,3947
NC-000001_38115019_aligned_29_F_8_973_0,0,956
NC-000004_6846629_aligned_30_R_27_1864_0,0,1872
NW-017852931_49655_aligned_31_R_0_1623_0,0,1566
NC-000003_197878958_aligned_32_F_7_5065_23,0,5026
NW-018654708_41163_aligned_33_F_0_3522_0,0,3458
NC-000011_366483_aligned_34_F_1_5062_15,0,5037
