id,y_true, length
NW-024704743_57940333_aligned_0_R_43_6242_1,1,6240
NW-024704773_3401004_aligned_1_R_49_7483_1,1,7497
NW-024704745_3541909_aligned_2_R_0_3609_6,1,3513
NW-024704757_16736204_aligned_3_R_0_2028_0,1,1988
NW-024704744_96598587_aligned_4_F_119_6092_2,1,6116
NW-024704763_9171920_aligned_5_R_4_2056_6,1,2056
NW-024704746_9025537_aligned_6_R_13_5696_0,1,5621
NW-024704743_42469394_aligned_7_R_0_3106_0,1,3084
NW-024704763_10014695_aligned_8_R_2_1108_0,1,1115
NW-024705574_6547_aligned_9_F_2_3861_15,1,3893
NW-024704743_71771980_aligned_10_R_17_2602_0,1,2614
NW-024704745_51571023_aligned_11_R_2_2310_0,1,2280
NW-024704753_5418610_aligned_12_R_0_4643_0,1,4551
NW-024704762_8352580_aligned_13_R_18_449_12,1,471
NW-024704744_68406565_aligned_14_R_3_3892_0,1,3857
NW-024704752_17896089_aligned_15_R_13_6568_4,1,6490
NW-024704745_55531557_aligned_16_F_256_1076_118,1,1422
NW-024704755_9421450_aligned_17_F_0_1198_0,1,1201
NW-024704756_801632_aligned_18_R_6_6303_11,1,6268
NW-024704758_2692080_aligned_19_F_1258_6124_1807,1,9141
NW-024704744_17317579_aligned_20_R_2_2001_6,1,1958
NW-024705553_21487_aligned_21_R_0_6329_12,1,6228
NW-024704743_114302675_aligned_22_R_34_1373_0,1,1388
NW-024704773_1514610_aligned_23_F_1_7382_1,1,7265
NW-024704745_63508607_aligned_24_R_105_1967_0,1,2048
NW-024704764_5684260_aligned_25_F_0_2587_1,1,2569
NW-024704748_6289818_aligned_26_F_4_4821_0,1,4772
NW-024704756_17337711_aligned_27_F_104_3528_2057,1,5653
NW-024704742_23539328_aligned_28_F_13_2266_3,1,2257
NW-024704767_2048332_aligned_29_F_0_2223_0,1,2167
NW-024704743_91698879_aligned_30_F_3_6373_11,1,6283
NW-024704746_64500801_aligned_31_R_5_5460_66,1,5495
NW-024704743_33003861_aligned_32_F_21_1058_9,1,1092
NW-024704742_99788085_aligned_33_F_174_2253_767,1,3174
NW-024704747_25135044_aligned_34_F_16_1774_1,1,1751
NW-024704751_10678260_aligned_35_R_15_4882_5,1,4829
NW-024704744_13097841_aligned_36_R_22_3460_3,1,3452
NW-024704744_80399891_aligned_37_F_11_3087_0,1,3034
NW-024704746_10672141_aligned_38_F_12_14460_28,1,14311
NW-024704746_34783681_aligned_39_F_0_6896_0,1,6813
NW-024706194_125_aligned_40_F_0_535_0,1,529
NW-024704742_87622580_aligned_41_R_0_372_0,1,375
NW-024704743_52625035_aligned_42_R_3303_778_13,1,4082
NW-024704762_10631247_aligned_43_F_147_2146_11,1,2265
NW-024704745_78976879_aligned_44_R_0_1900_0,1,1893
NW-024704745_64853482_aligned_45_R_38_5961_0,1,5963
NW-024704761_1388134_aligned_46_F_181_4793_1,1,4893
NW-024704743_118395279_aligned_47_F_6_1580_164,1,1736
NW-024704752_15923586_aligned_48_F_42_7707_5,1,7659
NW-024705095_59745_aligned_49_R_32_2773_0,1,2767
NW-024704778_385566_aligned_50_R_1_2166_0,1,2157
NW-024704745_12481498_aligned_51_R_19_2499_0,1,2520
NW-024704744_24908986_aligned_52_F_29_6260_0,1,6170
NW-024704787_414137_aligned_53_R_17_5246_0,1,5209
NW-024704743_100896109_aligned_54_R_1_1405_14,1,1400
NW-024704742_18874553_aligned_55_F_33_27741_49,1,27338
NW-024704765_8596402_aligned_56_R_21_1120_9,1,1148
NW-024704743_8195457_aligned_57_F_3_4558_0,1,4509
NW-024704754_18937255_aligned_58_F_9_2480_22,1,2515
NW-024704752_2286492_aligned_59_R_0_3173_0,1,3117
NW-024704754_4913810_aligned_60_F_3_3992_0,1,3933
NW-024704742_43636809_aligned_61_R_9_1383_4,1,1372
NW-024704749_23802436_aligned_62_R_4_9686_12,1,9585
NW-024704742_91529622_aligned_63_R_3_2680_3,1,2631
NW-024704744_34946238_aligned_64_R_15_452_29,1,482
NW-024704747_17605252_aligned_65_R_9_2726_0,1,2714
