GCA_900128725.1,Buchnera aphidicola
GCA_026418735.1,Dictyoglomus thermophilum
GCA_008015785.1,Methylophilus methylotrophus
GCA_019654935.1,Shewanella colwelliana
GCA_017068195.1,Shewanella putrefaciens
GCA_014647575.1,Shewanella hanedai
GCA_007991095.1,Myxococcus fulvus
GCA_900106535.1,Myxococcus xanthus
GCA_000219105.1,Corallococcus macrosporus
GCA_900109545.1,Stigmatella aurantiaca
GCA_002305875.1,Cystobacter fuscus
GCA_003387095.1,Archangium gephyra
GCA_001189295.1,Chondromyces crocatus
GCA_011361725.1,Nannocystis exedens
GCA_001589205.1,Sorangium cellulosum
GCA_025450955.1,Polyangium sp.
GCA_017989385.1,Vitreoscilla sp.
GCA_022870945.1,Vitreoscilla stercoraria
GCA_002222655.1,Vitreoscilla filiformis
GCA_017355525.1,Lysobacter enzymogenes
GCA_020162275.1,Simonsiella muelleri
GCA_014378155.1,Caulobacter sp.
GCA_016793445.1,Hyphomicrobium sp.
GCA_013626205.1,Hyphomicrobium methylovorum
GCA_003250435.1,Hyphomonas jannaschiana
GCA_017640815.1,Hyphomonas sp.
GCA_030705305.1,Leptothrix discophora
GCA_003751345.1,Stella humosa
GCA_004339465.1,Ancylobacter aquaticus
GCA_002954665.1,Polaribacter glomeratus
GCA_008274645.2,Cyclobacterium marinum
GCA_004293825.1,Runella slithyformis
GCA_003149495.1,Gemmata obscuriglobus
GCA_013822735.1,Pirellula sp.
GCA_002341435.1,Gimesia maris
GCA_020721965.1,Blastopirellula marina
GCA_009685195.1,Methylocystis parvus
GCA_021043615.1,Borreliella burgdorferi
GCA_020865525.1,Borrelia hermsii
GCA_023035815.1,Borrelia parkeri
GCA_023035415.1,Borrelia turicatae
GCA_023035575.1,Borrelia anserina
GCA_023035295.1,Borrelia coriaceae
GCA_016841845.1,Sediminispirochaeta bajacaliforniensis
GCA_014207565.1,Spirochaeta isovalerica
GCA_021021555.1,Treponema zuelzerae
GCA_020719845.1,Treponema denticola
GCA_017751185.1,Brachyspira hyodysenteriae
GCA_018204215.1,Treponema pallidum
GCA_015239315.1,Treponema pallidum subsp. pallidum
GCA_017161285.1,Treponema phagedenis
GCA_015061465.1,Treponema bryantii
GCA_900497595.1,Treponema pectinovorum
GCA_017410775.1,Treponema sp.
GCA_021631445.1,Treponema succinifaciens
GCA_003952805.1,Treponema pallidum subsp. pertenue
GCA_020720745.1,Leptospira biflexa
GCA_001292685.1,Leptospira interrogans
GCA_018402845.1,Leptospira borgpetersenii
GCA_001995195.1,Leptospira interrogans serovar Hardjo
GCA_009991425.1,Leptospira sp.
GCA_027416755.1,Leptospirillum ferrooxidans
GCA_027343785.1,Leptospirillum sp.
GCA_002009735.1,Leptonema illini
GCA_014205675.1,Novispirillum itersonii
GCA_016622105.1,Azospirillum brasilense
GCA_008364955.1,Azospirillum lipoferum
GCA_013720925.1,Campylobacter coli
GCA_010275415.1,Campylobacter fetus
GCA_009906985.1,Campylobacter jejuni
GCA_005170625.1,Campylobacter hyointestinalis
GCA_901874975.1,Campylobacter concisus
GCA_012978875.1,Campylobacter curvus
GCA_016962175.1,Campylobacter lari
GCA_012978755.1,Campylobacter mucosalis
GCA_905373485.1,Campylobacter rectus
GCA_938023685.1,Campylobacter showae
GCA_017437805.1,Campylobacter sp.
GCA_020828775.1,Campylobacter sputorum
GCA_016836785.1,Helicobacter pylori
GCA_001677375.1,Helicobacter sp. CLO-3
GCA_900197745.1,Helicobacter acinonychis
GCA_019649095.1,Helicobacter cinaedi
GCA_900196785.1,Helicobacter felis
GCA_017979365.1,Helicobacter fennelliae
GCA_900197845.1,Helicobacter muridarum
GCA_900476215.1,Helicobacter mustelae
GCA_017502485.1,Helicobacter sp.
GCA_004328865.1,Pseudoalteromonas carrageenovora
GCA_945859885.1,Pseudoalteromonas haloplanktis
GCA_013216085.1,Alteromonas sp.
GCA_000755125.1,Brucella abortus
GCA_900446135.1,Brucella ovis
GCA_017124775.1,Elizabethkingia meningoseptica
GCA_013821805.1,Flavobacterium sp.
GCA_947500015.1,Planomicrobium okeanokoites
GCA_006539785.1,Flavobacterium aquatile
GCA_900446785.1,Chryseobacterium balustinum
GCA_030324365.1,Empedobacter brevis
GCA_017304335.1,Terrimonas ferruginea
GCA_900636535.1,Chryseobacterium gleum
GCA_007997315.1,Psychroflexus gondwanensis
GCA_006540005.1,Halomonas halmophila
GCA_015476565.1,Chryseobacterium indologenes
GCA_016657085.1,Chryseobacterium indoltheticum
GCA_024809715.1,Myroides odoratus
GCA_016725645.1,Sphingobacterium spiritivorum
GCA_945868825.1,Sphingobacterium thalpophilum
GCA_015572075.1,Francisella tularensis
GCA_000834965.1,Francisella tularensis subsp. novicida
GCA_014199715.1,Paracoccus denitrificans
GCA_012841685.1,Paracoccus sp. (in: a-proteobacteria)
GCA_001280255.1,Thermus aquaticus
GCA_016865295.1,Thermus thermophilus
GCA_003450455.1,Thermus sp.
GCA_000771745.2,Thermus filiformis
GCA_023511895.1,Meiothermus ruber
GCA_017849325.1,Xanthobacter autotrophicus
GCA_017875275.1,Xanthobacter flavus
GCA_014076415.1,Comamonas testosteroni
GCA_009887705.1,Pseudomonas aeruginosa
GCA_002374815.1,Pseudoalteromonas atlantica
GCA_029030725.1,[Pseudomonas] carboxydohydrogena
GCA_014142065.1,Burkholderia cepacia
GCA_017849345.1,Brevundimonas diminuta
GCA_000801855.1,Pseudomonas fluorescens
GCA_015476275.1,Pseudomonas fragi
GCA_019448605.1,Hydrogenophilus thermoluteolus
GCA_000967935.1,Pseudomonas marginalis
GCA_015645415.1,Pseudomonas mendocina
GCA_900626055.2,Pseudomonas oleovorans
GCA_014062205.1,Pseudomonas putida
GCA_029532085.1,Pelomonas saccharophila
GCA_014210375.1,Ralstonia solanacearum
GCA_017418485.1,Pseudomonas sp.
GCA_017349035.1,Stutzerimonas stutzeri
GCA_000409185.1,Pseudomonas syringae
GCA_001294265.1,Pseudomonas savastanoi pv. glycinea
GCA_017009525.1,Pseudomonas savastanoi pv. phaseolicola
GCA_001675375.1,Pseudomonas syringae pv. syringae
GCA_018324325.1,Pseudomonas amygdali pv. tabaci
GCA_001518695.1,Pseudomonas syringae pv. tomato
GCA_017162415.1,Ralstonia pickettii
GCA_003945765.1,Pseudomonas chlororaphis subsp. chlororaphis
GCA_016598875.1,Burkholderia glumae
GCA_000834675.1,Xanthomonas campestris
GCA_020990875.1,Xanthomonas campestris pv. campestris
GCA_001455835.1,Xanthomonas translucens
GCA_018831345.1,Xanthomonas citri
GCA_004319505.1,Xanthomonas oryzae
GCA_006539865.1,Zoogloea ramigera
GCA_004327885.1,Azotobacter chroococcum
GCA_027922225.1,Azotobacter vinelandii
GCA_014198055.1,Agrobacterium tumefaciens
GCA_017584205.1,Rhizobium rhizogenes
GCA_018056125.1,Agrobacterium sp.
GCA_014204625.1,Agrobacterium vitis
GCA_013752735.1,Bradyrhizobium japonicum
GCA_017881085.1,Bradyrhizobium sp.
GCA_022234625.1,Sinorhizobium fredii
GCA_003024615.1,Mesorhizobium loti
GCA_017876815.1,Sinorhizobium meliloti
GCA_014197955.1,Rhizobium leguminosarum
GCA_025200795.1,Rhizobium leguminosarum bv. phaseoli
GCA_014189635.1,Rhizobium leguminosarum bv. trifolii
GCA_012275605.1,Rhizobium leguminosarum bv. viciae
GCA_014359895.1,Rhizobium sp.
GCA_000018545.1,Sinorhizobium fredii NGR234
GCA_012241405.1,Rhizobium phaseoli
GCA_014200185.1,Rhizobium tropici
GCA_017877055.1,Neorhizobium galegae
GCA_031344055.1,Methylobacillus flagellatus
GCA_016790465.1,Methylobacillus glycogenes
GCA_001854495.1,Methylorubrum extorquens
GCA_013824255.1,Methylobacterium sp.
GCA_022533465.1,Methylobacterium organophilum
GCA_019285555.1,Methylococcus capsulatus
GCA_002928855.1,Methylomonas sp.
GCA_001644045.1,Methylomonas methanica
GCA_007004125.1,Methylosinus sporium
GCA_937874905.1,Acetobacter aceti
GCA_014843995.1,Novacetimonas hansenii
GCA_004346035.1,Acidomonas methanolica
GCA_001183745.1,Acetobacter pasteurianus
GCA_017474285.1,Acetobacter sp.
GCA_001680825.1,Gluconobacter oxydans
GCA_017688915.1,Legionella pneumophila
GCA_001467045.1,Legionella bozemanae
GCA_001467615.1,Legionella erythra
GCA_001467705.1,Legionella hackeliae
GCA_019930685.1,Legionella longbeachae
GCA_900102325.1,Legionella micdadei
GCA_900186965.1,Legionella spiritensis
GCA_001648615.1,Legionella feeleii
GCA_004564155.1,Legionella israelensis
GCA_001691475.1,Legionella jamestowniensis
GCA_015969665.1,Legionella jordanis
GCA_001468125.1,Legionella rubrilucens
GCA_009995425.1,Legionella sp.
GCA_900452835.1,Legionella steigerwaltii
GCA_900450695.1,Fluoribacter dumoffii
GCA_900450965.1,Fluoribacter gormanii
GCA_900460175.1,Legionella maceachernii
GCA_009887795.1,Acinetobacter baumannii
GCA_016939475.1,Acinetobacter calcoaceticus
GCA_013822495.1,Acinetobacter sp.
GCA_002014975.1,Moraxella bovis
GCA_029921615.1,Moraxella lacunata
GCA_022346965.1,Moraxella nonliquefaciens
GCA_017988635.1,Moraxella sp.
GCA_001656125.1,Moraxella catarrhalis
GCA_016028715.1,Neisseria cinerea
GCA_905371385.1,Neisseria flavescens
GCA_905221645.1,Neisseria gonorrhoeae
GCA_002318615.1,Neisseria lactamica
GCA_014302495.1,Neisseria meningitidis
GCA_905370285.1,Neisseria mucosa
GCA_015711285.1,Neisseria polysaccharea
GCA_017753665.1,Neisseria sicca
GCA_001245455.1,Neisseria meningitidis serogroup B
GCA_003795365.1,Neisseria animalis
GCA_002108495.1,Neisseria canis
GCA_900453875.1,Bergeriella denitrificans
GCA_905372735.1,Neisseria elongata
GCA_902374455.1,Neisseria macacae
GCA_904846065.1,Psychrobacter immobilis
GCA_927911725.1,Kingella denitrificans
GCA_014762925.1,Kingella kingae
GCA_014054985.1,Kingella oralis
GCA_015905185.1,Alcaligenes faecalis
GCA_017989955.1,Alcaligenes sp.
GCA_000974745.1,Bordetella bronchiseptica
GCA_017357185.1,Bordetella parapertussis
GCA_016903175.1,Bordetella pertussis
GCA_012974625.1,Bordetella avium
GCA_021483635.1,Acidocella facilis
GCA_900156265.1,Acidiphilium rubrum
GCA_027371835.1,Acidiphilium sp.
GCA_015326295.1,Brucella anthropi
GCA_012273555.1,Chromobacterium violaceum
GCA_900451195.1,Iodobacter fluviatilis
GCA_001648315.1,Eikenella corrodens
GCA_030528345.1,Eikenella sp.
GCA_001563365.1,Zymomonas mobilis
GCA_017688855.1,Citrobacter koseri
GCA_016859905.1,Citrobacter freundii
GCA_009909445.1,Klebsiella aerogenes
GCA_017348995.1,Pantoea agglomerans
GCA_009907475.1,Enterobacter cloacae
GCA_015650045.1,Erwinia amylovora
GCA_017474015.1,Pantoea ananatis
GCA_016742895.1,Pectobacterium carotovorum
GCA_014164815.1,Pectobacterium carotovorum subsp. carotovorum
GCA_019739115.1,Dickeya chrysanthemi
GCA_031978025.1,Erwinia sp.
GCA_009907785.1,Escherichia coli
GCA_900636035.1,Shimwellia blattae
GCA_013819325.1,Escherichia fergusonii
GCA_009907385.1,Atlantibacter hermannii
GCA_026651835.1,Pseudescherichia vulneris
GCA_000818795.1,Hafnia alvei
GCA_016903975.1,Klebsiella oxytoca
GCA_009906895.1,Klebsiella pneumoniae
GCA_001056485.1,Klebsiella pneumoniae subsp. ozaenae
GCA_010598665.1,Raoultella planticola
GCA_011525465.1,Klebsiella sp.
GCA_021440425.1,Raoultella terrigena
GCA_946478245.1,Kluyvera cryocrescens
GCA_905196645.1,Morganella morganii
GCA_017114525.1,Proteus mirabilis
GCA_000754995.1,Proteus vulgaris
GCA_017163455.1,Providencia rettgeri
GCA_017151655.1,Providencia stuartii
GCA_017984465.1,Providencia sp.
GCA_010427705.1,Salmonella enterica subsp. enterica serovar Gallinarum
GCA_013722055.1,Salmonella enterica subsp. enterica serovar Infantis
GCA_013776725.1,Salmonella enterica subsp. enterica serovar Muenchen
