GRCh38,"NC_000001.11 Homo sapiens chromosome 1, GRCh38.p14 Primary Assembly"
GCA_000001985.1,"DS996350.1 Penicillium marneffei ATCC 18224 scf_1107713384177 genomic scaffold, whole genome shotgun sequence"
GCA_000002495.2,"CM001231.1 Magnaporthe oryzae 70-15 chromosome 1, whole genome shotgun sequence"
GCA_000002525.1,CR382127.1 Yarrowia lipolytica CLIB122 chromosome A complete sequence
GCA_000002655.1,"CM000169.1 Aspergillus fumigatus Af293 chromosome 1, whole genome shotgun sequence"
GCA_000002715.1,"DS027116.1 Aspergillus clavatus NRRL 1 1099423829862 genomic scaffold, whole genome shotgun sequence"
GCA_000003125.1,"EQ962681.1 Talaromyces stipitatus ATCC 10500 scf_1105507295581 genomic scaffold, whole genome shotgun sequence"
GCA_000003515.2,"CH476615.1 Uncinocarpus reesii 1704 scaffold_1 genomic scaffold, whole genome shotgun sequence"
GCA_000003525.2,"EQ999973.1 Blastomyces dermatitidis ER-3 genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000003835.1,"CH408079.1 Clavispora lusitaniae ATCC 42720 scaffold_4 genomic scaffold, whole genome shotgun sequence"
GCA_000003855.2,"GG657448.1 Blastomyces gilchristii SLH14081 genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000004155.2,"KE546988.1 Schizosaccharomyces cryophilus OY26 unplaced genomic scaffold supercont4.1, whole genome shotgun sequence"
GCA_000006255.1,"EQ966233.1 Postia placenta Mad-698-R POSPLscaffold_1 genomic scaffold, whole genome shotgun sequence"
GCA_000006275.3,"AAIH03000072.1 Aspergillus flavus NRRL3357 Scaffold01, whole genome shotgun sequence"
GCA_000006335.3,"GG692395.1 Candida tropicalis MYA-3404 genomic scaffold supercont3.1, whole genome shotgun sequence"
GCA_000006445.2,CR382133.2 Debaryomyces hansenii CBS767 chromosome A complete sequence
GCA_000011425.1,BN001301.1 TPA_asm: Aspergillus nidulans FGSC A4 chromosome I
GCA_000026945.1,"FM992695.1 Candida dubliniensis CD36 chromosome R, complete sequence"
GCA_000091025.4,"AE016814.2 Ashbya gossypii ATCC 10895 chromosome I, complete sequence"
