GCA_900327555.1,Cowpox virus
GCA_014621515.1,Monkeypox virus
GCA_013267885.1,Vaccinia virus
GCA_028897445.1,Vaccinia virus Copenhagen
GCA_006465985.1,Vaccinia virus Tian Tan
GCA_000860085.1,Vaccinia virus WR
GCA_000859885.1,Variola virus
GCA_023530305.1,Raccoonpox virus
GCA_012657065.2,Orf virus
GCA_014319765.1,Fowlpox virus
GCA_006458565.1,Fowlpox virus isolate HP-438/Munich
GCA_028569855.1,Pigeonpox virus
GCA_016920985.1,Sheeppox virus
GCA_000847965.1,Rabbit fibroma virus
GCA_004139375.1,Myxoma virus
GCA_017903395.1,Swinepox virus
GCA_016865615.1,Molluscum contagiosum virus
GCA_014183265.1,Molluscum contagiosum virus subtype 1
GCA_006450575.1,Molluscum contagiosum virus subtype 2
GCA_000909015.1,Choristoneura biennis entomopoxvirus
GCA_002987725.1,unidentified entomopoxvirus
GCA_021461835.1,Bovine alphaherpesvirus 2
GCA_000859985.2,Human alphaherpesvirus 1
GCA_002847095.1,Human alphaherpesvirus 1 strain 17
GCA_900167705.1,Human alphaherpesvirus 2
GCA_000846965.1,Cercopithecine alphaherpesvirus 2
GCA_027940375.1,Bovine alphaherpesvirus 1
GCA_027936175.1,Macacine alphaherpesvirus 1
GCA_027938205.1,Equid alphaherpesvirus 1
GCA_027938685.1,Equid alphaherpesvirus 4
GCA_027940575.1,Felid alphaherpesvirus 1
GCA_027941035.1,Human alphaherpesvirus 3
GCA_000858285.1,Human herpesvirus 3 strain Dumas
GCA_027938585.1,Suid alphaherpesvirus 1
GCA_000890195.1,Saimiriine alphaherpesvirus 1
GCA_027926625.1,Human betaherpesvirus 5
GCA_000859805.1,Murid betaherpesvirus 1
GCA_027930695.1,Equid gammaherpesvirus 5
GCA_000848125.1,Human betaherpesvirus 7
GCA_002402265.1,Human gammaherpesvirus 4
GCA_002814975.1,Ateline gammaherpesvirus 2
GCA_000845465.1,Saimiriine gammaherpesvirus 2
GCA_000839745.1,Bovine gammaherpesvirus 4
GCA_008787145.1,Gallid alphaherpesvirus 1
GCA_027935875.1,Gallid alphaherpesvirus 2
GCA_000849685.1,Tupaiid betaherpesvirus 1
GCA_027940935.1,Ovine gammaherpesvirus 2
GCA_000839325.1,Ictalurid herpesvirus 1
GCA_000837845.1,Ground squirrel hepatitis virus
GCA_003033085.1,Hepatitis B virus
GCA_000846205.1,Lymantria dispar multiple nucleopolyhedrovirus
GCA_031098835.1,Orgyia pseudotsugata single capsid nuclopolyhedrovirus
GCA_000529295.1,Spodoptera exigua multiple nucleopolyhedrovirus
GCA_000868825.1,Spodoptera frugiperda multiple nucleopolyhedrovirus
GCA_002819145.1,Spodoptera littoralis nucleopolyhedrovirus
GCA_002819185.1,Agrotis segetum granulovirus
GCA_031098845.1,Helicoverpa zea single nucleopolyhedrovirus
GCA_002988075.1,Thermoproteus tenax virus 1
GCA_000867225.1,Ichnoviriform sonorense
GCA_002833685.1,Tipula iridescent virus
GCA_027183865.1,Frog virus 3
GCA_009708375.3,African swine fever virus
GCA_000847045.1,Paramecium bursaria Chlorella virus 1
GCA_000844245.1,Bovine adenovirus 3
GCA_017161635.1,Bovine adenovirus 7
GCA_000845925.1,Canine adenovirus 1
GCA_026411235.1,Canine adenovirus 2
GCA_019450225.1,Human adenovirus 2
GCA_014524665.1,Human adenovirus 7
GCA_015819255.1,Human adenovirus 14
GCA_029236845.1,Human adenovirus 35
GCA_017347675.1,Human adenovirus 41
GCA_000845985.1,Human adenovirus D9
GCA_006447935.1,Human adenovirus 18
GCA_019450475.1,Human adenovirus 31
GCA_000885275.1,Murine adenovirus 1
GCA_006449135.1,Simian adenovirus 7
GCA_019453525.1,Human adenovirus 1
GCA_029958945.1,Human adenovirus 6
GCA_006436495.1,unidentified adenovirus
GCA_022211045.1,Canine mastadenovirus A
GCA_019788725.1,Human adenovirus 11
GCA_002818015.1,Bovine adenovirus 1
GCA_006449075.1,Fowl aviadenovirus 10
GCA_006448555.1,Human adenovirus 34
GCA_000845105.1,Fowl aviadenovirus 1
GCA_003180435.1,Bos taurus papillomavirus 4
GCA_003177695.1,Bos taurus papillomavirus 6
GCA_001274345.1,Human papillomavirus
GCA_000839345.1,Iotapapillomavirus 1
GCA_000867785.1,Micromys minutus papillomavirus 1
GCA_002220025.1,Bovine papillomavirus
GCA_003180475.1,human papillomavirus 13
GCA_031098885.1,Monkey B-lymphotropic papovavirus
GCA_003180495.1,Pygmy chimpanzee papillomavirus type 1
GCA_003179975.1,Human papillomavirus type 8
GCA_003179995.1,human papillomavirus 11
GCA_000866405.1,Human papillomavirus type 1a
GCA_000864945.1,Human papillomavirus type 2a
GCA_003179095.1,human papillomavirus 31
GCA_003179955.1,human papillomavirus 33
GCA_031098965.1,human papillomavirus 35
GCA_031099035.1,human papillomavirus 39
GCA_000863845.1,Human papillomavirus type 41
GCA_031099045.1,human papillomavirus 42
GCA_003177675.1,human papillomavirus 43
GCA_003180375.1,human papillomavirus 44
GCA_003180735.1,human papillomavirus 45
GCA_003180035.1,human papillomavirus 47
GCA_031099075.1,human papillomavirus 51
GCA_003180775.1,human papillomavirus 56
GCA_031099135.1,human papillomavirus 58
GCA_031099145.1,Human papillomavirus type 5b
GCA_000861945.1,Human papillomavirus type 6b
GCA_003180555.1,human papillomavirus 12
GCA_003180595.1,Human papillomavirus 15
GCA_003180615.1,Human papillomavirus 17
GCA_003180635.1,Human papillomavirus 19
GCA_003180655.1,human papillomavirus 25
GCA_002987345.1,human papillomavirus 30
GCA_003180535.1,Human papillomavirus 3
GCA_003180715.1,human papillomavirus 40
GCA_000862825.1,Human papillomavirus type 49
GCA_000864845.1,Human papillomavirus 4
GCA_031099265.1,human papillomavirus 52
GCA_000861925.1,Human papillomavirus type 7
GCA_000863685.1,Human papillomavirus 9
GCA_000837085.1,Kappapapillomavirus 2
GCA_900096525.1,JC polyomavirus
GCA_031099295.1,Murine polyomavirus strain A2
GCA_031099305.1,Mouse polyomavirus (strain Crawford small-plaque)
GCA_000845845.1,Carnation etched ring virus
GCA_000848745.1,Cauliflower mosaic virus
GCA_000845905.1,Figwort mosaic virus
GCA_000847985.1,Soybean chlorotic mottle virus
GCA_000849585.1,Commelina yellow mottle virus
GCA_000849605.1,Rice tungro bacilliform virus
GCA_000837025.1,Enterobacteria phage PRD1
GCA_002599625.1,Tequatrovirus T4
GCA_013150875.1,Enterobacteria phage T6
GCA_003628055.1,Punavirus P1
GCA_917046035.1,Peduovirus P2
GCA_000846325.1,Enterobacteria phage P4
GCA_002755035.1,Enterobacteria phage P7
GCA_000903155.1,Vibrio phage CP-T1
GCA_003369385.1,Enterobacteria phage RB18
GCA_000881275.1,Enterobacteria phage RB51
GCA_000844125.1,Streptomyces phage VWB
GCA_000881375.1,Rhizobium phage 16-3
GCA_025434975.1,Lambdavirus lambda
GCA_001015325.1,Enterobacteria phage phi80
GCA_000841105.1,Bacillus phage phi105
GCA_009674045.1,Lomovskayavirus C31
GCA_000847145.1,Bacillus phage SPP1
GCA_022818215.1,Bacillus phage SPR
GCA_000837725.1,Escherichia phage 933W
GCA_000899575.1,Streptomyces phage R4
GCA_002601445.1,Bacillus phage phi3T
GCA_000849625.1,Streptococcus phage Cp1
GCA_002988105.1,Streptococcus phage CP-7
GCA_002755075.1,Bacillus phage PZA
GCA_002745435.1,Enterobacteria phage T3
GCA_902727875.1,Escherichia phage T7
GCA_000837625.1,Bovine parvovirus
GCA_031099375.1,Feline parvovirus
GCA_031099405.1,Feline panleukopenia virus
GCA_000848925.1,Canine parvovirus
GCA_031099435.1,Mink enteritis virus
GCA_000838465.1,Minute virus of mice
GCA_000839485.1,Porcine parvovirus
GCA_000839645.1,Human parvovirus B19
GCA_000848765.1,H-1 parvovirus
GCA_000838645.1,adeno-associated virus 2
GCA_000847225.1,Abutilon mosaic virus
GCA_000857205.1,African cassava mosaic virus
GCA_000839545.1,Chloris striate mosaic virus
GCA_002825205.1,Maize streak virus
GCA_002825305.1,Panicum streak virus
